value,property,unit,cmp_ids,cmp_mole_fractions
2.874434152,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.03, 0.01, 0.02, 0.02, 0.88]"
3.850712056,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.02, 0.03, 0.04, 0.02, 0.84]"
2.223582211,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.01, 0.04, 0.02, 0.03, 0.01, 0.89]"
3.029861471,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.02, 0.03, 0.04, 0.02, 0.04, 0.85]"
1.849585198,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.01, 0.02, 0.03, 0.03, 0.02, 0.89]"
4.734704975,solubility,mg/mL,"[0, 1, 2, 4, 5]","[0.04, 0.04, 0.02, 0.04, 0.86]"
1.79129995,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.01, 0.02, 0.01, 0.01, 0.03, 0.92]"
2.097297502,solubility,mg/mL,"[0, 1, 3, 4, 5]","[0.01, 0.02, 0.02, 0.04, 0.91]"
2.728721032,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.05, 0.01, 0.05, 0.01, 0.84]"
2.160439864,solubility,mg/mL,"[0, 1, 2, 3, 5]","[0.05, 0.01, 0.04, 0.01, 0.89]"
2.864719939,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.04, 0.05, 0.01, 0.01, 0.84]"
1.373589016,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.01, 0.01, 0.02, 0.04, 0.88]"
1.4755882,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.03, 0.04, 0.01, 0.01, 0.03, 0.88]"
0.314740339,solubility,mg/mL,"[1, 2, 3, 4, 5]","[0.01, 0.04, 0.01, 0.01, 0.93]"
2.762720755,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.03, 0.04, 0.04, 0.04, 0.03, 0.82]"
1.18416196,solubility,mg/mL,"[1, 2, 3, 4, 5]","[0.02, 0.01, 0.04, 0.01, 0.92]"
2.889005464,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.03, 0.04, 0.01, 0.04, 0.03, 0.85]"
0.790736536,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.01, 0.01, 0.03, 0.03, 0.04, 0.88]"
1.781585752,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.01, 0.04, 0.02, 0.05, 0.01, 0.87]"
0.742165486,solubility,mg/mL,"[0, 2, 3, 4, 5]","[0.01, 0.04, 0.04, 0.03, 0.88]"
1.660158142,solubility,mg/mL,"[0, 1, 2, 4, 5]","[0.03, 0.03, 0.04, 0.02, 0.88]"
1.305589555,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.01, 0.04, 0.04, 0.02, 0.03, 0.86]"
1.169590648,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.03, 0.01, 0.02, 0.03, 0.03, 0.88]"
2.262439048,solubility,mg/mL,"[0, 1, 4, 5]","[0.04, 0.04, 0.01, 0.91]"
2.199296686,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.01, 0.04, 0.04, 0.04, 0.82]"
1.815585475,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.02, 0.05, 0.01, 0.01, 0.05, 0.86]"
1.601872894,solubility,mg/mL,"[0, 3, 4, 5]","[0.01, 0.01, 0.01, 0.97]"
0.77130811,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.01, 0.01, 0.02, 0.04, 0.01, 0.91]"
2.145868552,solubility,mg/mL,"[0, 1, 3, 4, 5]","[0.04, 0.02, 0.04, 0.04, 0.86]"
1.805871262,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.03, 0.04, 0.02, 0.04, 0.05, 0.82]"
0.858735982,solubility,mg/mL,"[1, 2, 3, 4, 5]","[0.03, 0.04, 0.01, 0.02, 0.9]"
1.1113054,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.03, 0.01, 0.04, 0.01, 0.04, 0.87]"
1.859299411,solubility,mg/mL,"[0, 2, 3, 5]","[0.01, 0.04, 0.04, 0.91]"
2.019583843,solubility,mg/mL,"[1, 3, 4, 5]","[0.04, 0.01, 0.04, 0.91]"
2.2041538,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.03, 0.01, 0.04, 0.01, 0.01, 0.9]"
2.937576499,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.02, 0.02, 0.01, 0.01, 0.89]"
2.549008175,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.03, 0.03, 0.02, 0.01, 0.01, 0.9]"
3.034718584,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.02, 0.04, 0.04, 0.01, 0.04, 0.85]"
1.796157064,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.01, 0.03, 0.04, 0.02, 0.01, 0.89]"
1.101591187,solubility,mg/mL,"[0, 2, 3, 4, 5]","[0.02, 0.01, 0.01, 0.04, 0.92]"
3.112432243,solubility,mg/mL,"[0, 1, 2, 3, 5]","[0.02, 0.04, 0.01, 0.02, 0.91]"
2.665578671,solubility,mg/mL,"[0, 1, 3, 4, 5]","[0.04, 0.01, 0.02, 0.01, 0.92]"
1.956441496,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.02, 0.02, 0.01, 0.01, 0.05, 0.89]"
2.889005464,solubility,mg/mL,"[0, 1, 3, 4, 5]","[0.02, 0.03, 0.04, 0.01, 0.9]"
5.584698184,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.05, 0.01, 0.05, 0.01, 0.03, 0.85]"
7.984107551,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.04, 0.05, 0.02, 0.04, 0.81]"
2.884148351,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.02, 0.04, 0.04, 0.01, 0.85]"
8.829243647,solubility,mg/mL,"[0, 1, 2, 3, 4, 5]","[0.04, 0.02, 0.03, 0.04, 0.05, 0.82]"
